Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.656231 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [3.99e-01, 1.76e+02, 5.96e-02]    [2.77e-01, 1.76e+02, 5.96e-02]    []

Best model at step 0:
  train loss: 1.77e+02
  test loss: 1.77e+02
  test metric: []

'train' took 2.574109 s

Compiling model...
'compile' took 0.001464 s

Training model...

Step      Train loss                        Test loss                         Test metric
20500     [1.16e-02, 1.90e-02, 3.06e-02]    [5.75e-03, 1.90e-02, 3.06e-02]    []
20600     [1.03e-02, 1.82e-02, 3.06e-02]    [4.37e-03, 1.82e-02, 3.06e-02]    []
20700     [1.03e-02, 1.82e-02, 3.03e-02]    [4.40e-03, 1.82e-02, 3.03e-02]    []
20800     [9.94e-03, 1.81e-02, 3.02e-02]    [4.46e-03, 1.81e-02, 3.02e-02]    []
20900     [1.00e-02, 1.80e-02, 2.99e-02]    [4.33e-03, 1.80e-02, 2.99e-02]    []
21000     [1.04e-02, 1.79e-02, 3.00e-02]    [4.39e-03, 1.79e-02, 3.00e-02]    []
21100     [9.88e-03, 1.78e-02, 2.99e-02]    [4.24e-03, 1.78e-02, 2.99e-02]    []
21200     [9.71e-03, 1.76e-02, 2.98e-02]    [4.24e-03, 1.76e-02, 2.98e-02]    []
21300     [9.84e-03, 1.78e-02, 2.94e-02]    [4.23e-03, 1.78e-02, 2.94e-02]    []
21400     [9.83e-03, 1.75e-02, 2.95e-02]    [4.21e-03, 1.75e-02, 2.95e-02]    []
21500     [9.61e-03, 1.74e-02, 2.94e-02]    [4.16e-03, 1.74e-02, 2.94e-02]    []
21600     [1.16e-02, 1.73e-02, 2.96e-02]    [5.84e-03, 1.73e-02, 2.96e-02]    []
21700     [9.73e-03, 1.73e-02, 2.92e-02]    [4.16e-03, 1.73e-02, 2.92e-02]    []
21800     [1.31e-02, 1.88e-02, 2.90e-02]    [7.45e-03, 1.88e-02, 2.90e-02]    []
21900     [9.39e-03, 1.70e-02, 2.89e-02]    [4.22e-03, 1.70e-02, 2.89e-02]    []
22000     [9.64e-03, 1.69e-02, 2.88e-02]    [4.15e-03, 1.69e-02, 2.88e-02]    []
22100     [1.00e-02, 1.69e-02, 2.89e-02]    [4.25e-03, 1.69e-02, 2.89e-02]    []
22200     [2.71e-02, 2.36e-02, 2.93e-02]    [2.08e-02, 2.36e-02, 2.93e-02]    []
22300     [9.26e-03, 1.66e-02, 2.87e-02]    [4.06e-03, 1.66e-02, 2.87e-02]    []
22400     [2.81e-02, 2.53e-02, 2.91e-02]    [2.24e-02, 2.53e-02, 2.91e-02]    []
22500     [9.84e-03, 1.64e-02, 2.86e-02]    [4.15e-03, 1.64e-02, 2.86e-02]    []
22600     [9.08e-03, 1.64e-02, 2.84e-02]    [4.06e-03, 1.64e-02, 2.84e-02]    []
22700     [9.61e-03, 1.64e-02, 2.81e-02]    [4.07e-03, 1.64e-02, 2.81e-02]    []
22800     [9.22e-03, 1.63e-02, 2.81e-02]    [4.18e-03, 1.63e-02, 2.81e-02]    []
22900     [8.99e-03, 1.61e-02, 2.79e-02]    [4.03e-03, 1.61e-02, 2.79e-02]    []
23000     [9.38e-03, 1.61e-02, 2.78e-02]    [4.02e-03, 1.61e-02, 2.78e-02]    []
23100     [1.01e-02, 1.61e-02, 2.77e-02]    [4.58e-03, 1.61e-02, 2.77e-02]    []
