Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.059942 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [4.92e+00, 4.80e+02, 1.81e-01]    [3.95e+00, 4.80e+02, 1.81e-01]    []

Best model at step 0:
  train loss: 4.85e+02
  test loss: 4.84e+02
  test metric: []

'train' took 3.037069 s

Compiling model...
'compile' took 0.001218 s

Training model...

Step      Train loss                        Test loss                         Test metric
14200     [3.15e-03, 6.39e-04, 3.01e-03]    [1.87e-03, 6.39e-04, 3.01e-03]    []
14300     [2.86e-03, 6.20e-04, 3.04e-03]    [1.88e-03, 6.20e-04, 3.04e-03]    []
14400     [3.00e-03, 6.02e-04, 2.98e-03]    [1.84e-03, 6.02e-04, 2.98e-03]    []
14500     [2.94e-03, 6.83e-04, 2.98e-03]    [1.83e-03, 6.83e-04, 2.98e-03]    []
14600     [2.82e-03, 6.19e-04, 2.97e-03]    [1.78e-03, 6.19e-04, 2.97e-03]    []
14700     [2.94e-03, 6.11e-04, 2.93e-03]    [1.80e-03, 6.11e-04, 2.93e-03]    []
14800     [3.03e-03, 1.47e-03, 2.96e-03]    [2.00e-03, 1.47e-03, 2.96e-03]    []
14900     [2.87e-03, 5.53e-04, 2.88e-03]    [1.84e-03, 5.53e-04, 2.88e-03]    []
15000     [2.77e-03, 5.82e-04, 2.85e-03]    [1.84e-03, 5.82e-04, 2.85e-03]    []
15100     [2.92e-03, 5.30e-04, 2.87e-03]    [1.84e-03, 5.30e-04, 2.87e-03]    []
15200     [2.93e-03, 9.96e-04, 2.88e-03]    [1.91e-03, 9.96e-04, 2.88e-03]    []
15300     [3.96e-03, 4.18e-03, 3.48e-03]    [2.76e-03, 4.18e-03, 3.48e-03]    []
15400     [3.08e-03, 5.44e-04, 2.87e-03]    [1.82e-03, 5.44e-04, 2.87e-03]    []
15500     [2.75e-03, 4.73e-04, 2.79e-03]    [1.84e-03, 4.73e-04, 2.79e-03]    []
15600     [2.78e-03, 5.60e-04, 2.80e-03]    [1.86e-03, 5.60e-04, 2.80e-03]    []
15700     [2.99e-03, 1.34e-03, 2.82e-03]    [1.98e-03, 1.34e-03, 2.82e-03]    []
15800     [3.17e-03, 1.02e-03, 2.89e-03]    [1.91e-03, 1.02e-03, 2.89e-03]    []
15900     [2.77e-03, 7.38e-04, 2.81e-03]    [1.82e-03, 7.38e-04, 2.81e-03]    []
16000     [2.72e-03, 5.50e-04, 2.71e-03]    [1.83e-03, 5.50e-04, 2.71e-03]    []
16100     [2.70e-03, 4.60e-04, 2.71e-03]    [1.79e-03, 4.60e-04, 2.71e-03]    []
16200     [3.03e-03, 7.63e-04, 2.73e-03]    [1.85e-03, 7.63e-04, 2.73e-03]    []
16300     [2.67e-03, 4.68e-04, 2.69e-03]    [1.75e-03, 4.68e-04, 2.69e-03]    []
16400     [2.76e-03, 4.56e-04, 2.66e-03]    [1.78e-03, 4.56e-04, 2.66e-03]    []
16500     [3.65e-03, 3.65e-03, 3.20e-03]    [2.57e-03, 3.65e-03, 3.20e-03]    []
16600     [2.56e-03, 4.34e-04, 2.62e-03]    [1.76e-03, 4.34e-04, 2.62e-03]    []
16700     [2.59e-03, 6.70e-04, 2.66e-03]    [1.85e-03, 6.70e-04, 2.66e-03]    []
16800     [2.54e-03, 4.12e-04, 2.58e-03]    [1.77e-03, 4.12e-04, 2.58e-03]    []
16900     [2.58e-03, 4.22e-04, 2.59e-03]    [1.76e-03, 4.22e-04, 2.59e-03]    []
17000     [2.66e-03, 8.00e-04, 2.55e-03]    [1.91e-03, 8.00e-04, 2.55e-03]    []
17100     [2.72e-03, 3.85e-04, 2.51e-03]    [1.71e-03, 3.85e-04, 2.51e-03]    []
17200     [2.55e-03, 4.02e-04, 2.48e-03]    [1.75e-03, 4.02e-04, 2.48e-03]    []
17300     [2.49e-03, 3.84e-04, 2.48e-03]    [1.77e-03, 3.84e-04, 2.48e-03]    []
17400     [2.57e-03, 3.75e-04, 2.48e-03]    [1.75e-03, 3.75e-04, 2.48e-03]    []
17500     [2.62e-03, 4.46e-04, 2.50e-03]    [1.71e-03, 4.46e-04, 2.50e-03]    []
17600     [2.72e-03, 4.08e-04, 2.47e-03]    [1.68e-03, 4.08e-04, 2.47e-03]    []
17700     [2.61e-03, 4.93e-04, 2.45e-03]    [1.75e-03, 4.93e-04, 2.45e-03]    []
17800     [2.41e-03, 3.50e-04, 2.42e-03]    [1.65e-03, 3.50e-04, 2.42e-03]    []
17900     [2.32e-03, 3.70e-04, 2.42e-03]    [1.65e-03, 3.70e-04, 2.42e-03]    []
18000     [2.69e-03, 8.79e-04, 2.49e-03]    [1.76e-03, 8.79e-04, 2.49e-03]    []
18100     [2.52e-03, 5.68e-04, 2.47e-03]    [1.63e-03, 5.68e-04, 2.47e-03]    []
18200     [2.44e-03, 3.46e-04, 2.37e-03]    [1.62e-03, 3.46e-04, 2.37e-03]    []
18300     [2.56e-03, 6.59e-04, 2.38e-03]    [1.65e-03, 6.59e-04, 2.38e-03]    []
18400     [2.46e-03, 3.33e-04, 2.38e-03]    [1.58e-03, 3.33e-04, 2.38e-03]    []
18500     [2.51e-03, 3.43e-04, 2.35e-03]    [1.59e-03, 3.43e-04, 2.35e-03]    []
18600     [3.59e-03, 5.51e-03, 2.98e-03]    [2.84e-03, 5.51e-03, 2.98e-03]    []
18700     [2.40e-03, 3.04e-04, 2.28e-03]    [1.55e-03, 3.04e-04, 2.28e-03]    []
18800     [2.78e-03, 3.88e-04, 2.30e-03]    [1.55e-03, 3.88e-04, 2.30e-03]    []
18900     [3.82e-03, 5.33e-03, 3.11e-03]    [2.70e-03, 5.33e-03, 3.11e-03]    []
19000     [2.55e-03, 3.21e-04, 2.25e-03]    [1.52e-03, 3.21e-04, 2.25e-03]    []
19100     [2.89e-03, 1.72e-03, 2.41e-03]    [1.84e-03, 1.72e-03, 2.41e-03]    []
19200     [2.35e-03, 3.30e-04, 2.24e-03]    [1.47e-03, 3.30e-04, 2.24e-03]    []
19300     [2.51e-03, 5.00e-04, 2.24e-03]    [1.51e-03, 5.00e-04, 2.24e-03]    []
19400     [4.15e-03, 5.97e-03, 3.18e-03]    [2.99e-03, 5.97e-03, 3.18e-03]    []
19500     [2.29e-03, 3.17e-04, 2.21e-03]    [1.43e-03, 3.17e-04, 2.21e-03]    []
19600     [2.37e-03, 3.23e-04, 2.17e-03]    [1.46e-03, 3.23e-04, 2.17e-03]    []
19700     [6.85e-03, 1.48e-02, 4.63e-03]    [5.40e-03, 1.48e-02, 4.63e-03]    []
19800     [2.29e-03, 3.02e-04, 2.18e-03]    [1.43e-03, 3.02e-04, 2.18e-03]    []
19900     [3.90e-03, 5.99e-03, 3.13e-03]    [2.86e-03, 5.99e-03, 3.13e-03]    []
20000     [2.25e-03, 3.15e-04, 2.14e-03]    [1.42e-03, 3.15e-04, 2.14e-03]    []
20100     [2.36e-03, 4.25e-04, 2.18e-03]    [1.43e-03, 4.25e-04, 2.18e-03]    []
20200     [2.37e-03, 3.45e-04, 2.14e-03]    [1.43e-03, 3.45e-04, 2.14e-03]    []
20300     [2.41e-03, 3.34e-04, 2.11e-03]    [1.43e-03, 3.34e-04, 2.11e-03]    []
20400     [2.56e-03, 1.33e-03, 2.32e-03]    [1.67e-03, 1.33e-03, 2.32e-03]    []
20500     [2.24e-03, 2.84e-04, 2.10e-03]    [1.42e-03, 2.84e-04, 2.10e-03]    []
20600     [4.75e-03, 9.72e-03, 3.38e-03]    [3.96e-03, 9.72e-03, 3.38e-03]    []
20700     [2.21e-03, 2.76e-04, 2.08e-03]    [1.42e-03, 2.76e-04, 2.08e-03]    []
20800     [2.37e-03, 9.17e-04, 2.18e-03]    [1.59e-03, 9.17e-04, 2.18e-03]    []
20900     [2.21e-03, 2.71e-04, 2.04e-03]    [1.41e-03, 2.71e-04, 2.04e-03]    []
21000     [2.19e-03, 2.78e-04, 2.04e-03]    [1.42e-03, 2.78e-04, 2.04e-03]    []
21100     [2.41e-03, 2.96e-04, 2.02e-03]    [1.41e-03, 2.96e-04, 2.02e-03]    []
21200     [2.19e-03, 4.93e-04, 2.01e-03]    [1.47e-03, 4.93e-04, 2.01e-03]    []
21300     [2.22e-03, 2.62e-04, 2.00e-03]    [1.43e-03, 2.62e-04, 2.00e-03]    []
21400     [2.15e-03, 2.45e-04, 1.97e-03]    [1.45e-03, 2.45e-04, 1.97e-03]    []
21500     [2.11e-03, 2.44e-04, 1.94e-03]    [1.48e-03, 2.44e-04, 1.94e-03]    []
21600     [2.46e-03, 3.26e-04, 1.95e-03]    [1.48e-03, 3.26e-04, 1.95e-03]    []
21700     [2.74e-03, 8.44e-04, 1.98e-03]    [1.67e-03, 8.44e-04, 1.98e-03]    []
21800     [2.60e-03, 1.30e-03, 2.10e-03]    [1.72e-03, 1.30e-03, 2.10e-03]    []
21900     [2.19e-03, 3.09e-04, 1.99e-03]    [1.42e-03, 3.09e-04, 1.99e-03]    []
22000     [2.18e-03, 4.18e-04, 1.99e-03]    [1.42e-03, 4.18e-04, 1.99e-03]    []
22100     [2.14e-03, 2.92e-04, 1.92e-03]    [1.35e-03, 2.92e-04, 1.92e-03]    []
22200     [2.18e-03, 3.12e-04, 1.94e-03]    [1.34e-03, 3.12e-04, 1.94e-03]    []
